time,load_est_x,load_est_y,load_est_z,load_est_vx,load_est_vy,load_est_vz,drone0_est_x,drone0_est_y,drone0_est_z,drone0_est_vx,drone0_est_vy,drone0_est_vz,drone1_est_x,drone1_est_y,drone1_est_z,drone1_est_vx,drone1_est_vy,drone1_est_vz,drone2_est_x,drone2_est_y,drone2_est_z,drone2_est_vx,drone2_est_vy,drone2_est_vz,drone3_est_x,drone3_est_y,drone3_est_z,drone3_est_vx,drone3_est_vy,drone3_est_vz,drone4_est_x,drone4_est_y,drone4_est_z,drone4_est_vx,drone4_est_vy,drone4_est_vz
0.390000,0.434020,-0.012708,0.276669,0.057986,-0.374147,-0.501613,0.572165,-0.014318,1.174680,-0.070318,-0.118421,-0.175236,0.186429,0.565057,1.142080,0.028125,-0.001653,0.070375,-0.474620,0.345381,1.209214,0.033069,-0.037811,-0.032108,-0.460728,-0.357689,1.140462,0.068039,-0.114244,-0.187621,0.175992,-0.577769,1.152253,-0.112652,-0.028059,-0.103848
0.400000,0.434434,-0.016500,0.271656,-0.152992,-0.310787,-0.335754,0.571517,-0.016465,1.171236,-0.070129,-0.121754,-0.180982,0.185953,0.564618,1.140043,0.025506,-0.003113,0.061061,-0.475849,0.343762,1.208109,0.027674,-0.042100,-0.034771,-0.460652,-0.356334,1.139998,0.065948,-0.105607,-0.182822,0.174656,-0.578803,1.152308,-0.113378,-0.030664,-0.100134
0.410000,0.432626,-0.019661,0.268324,-0.437479,-0.274974,-0.199586,0.570943,-0.018389,1.168082,-0.069697,-0.124151,-0.185462,0.185516,0.564220,1.138142,0.023157,-0.004356,0.052691,-0.476970,0.342302,1.207092,0.022930,-0.045625,-0.037000,-0.460597,-0.355082,1.139606,0.063898,-0.097778,-0.178035,0.173467,-0.579735,1.152379,-0.113567,-0.032786,-0.096560
0.420000,0.427863,-0.022476,0.266361,-0.778053,-0.268293,-0.097522,0.567987,-0.017518,1.172614,-0.077217,-0.117118,-0.164571,0.182593,0.565664,1.137758,0.012657,0.000595,0.049712,-0.477580,0.342513,1.195277,0.020137,-0.043404,-0.074442,-0.458861,-0.354823,1.149325,0.067551,-0.093661,-0.140417,0.173524,-0.575891,1.160567,-0.109596,-0.018902,-0.066616
0.430000,0.419543,-0.025176,0.265598,-1.217607,-0.205082,0.203441,0.565313,-0.016701,1.176850,-0.083430,-0.110619,-0.145677,0.179931,0.566978,1.137393,0.003544,0.004869,0.046941,-0.478139,0.342714,1.184330,0.017651,-0.041329,-0.107215,-0.457295,-0.354568,1.158369,0.070461,-0.089765,-0.106856,0.173599,-0.572390,1.168176,-0.105770,-0.006843,-0.040034
0.440000,0.406725,-0.027221,0.267953,-1.665553,-0.132440,0.555583,0.562896,-0.015933,1.180811,-0.088514,-0.104603,-0.128582,0.177506,0.568173,1.137044,-0.004357,0.008552,0.044359,-0.478652,0.342906,1.174187,0.015437,-0.039387,-0.135835,-0.455884,-0.354317,1.166786,0.072730,-0.086076,-0.076926,0.173689,-0.569201,1.175248,-0.102083,0.003619,-0.016456
0.450000,0.389379,-0.028539,0.273865,-2.051529,-0.083063,0.850518,0.560711,-0.015213,1.184515,-0.092619,-0.099024,-0.113110,0.175297,0.569261,1.136712,-0.011196,0.011716,0.041954,-0.479123,0.343088,1.164791,0.013464,-0.037566,-0.160761,-0.454612,-0.354070,1.174619,0.074449,-0.082580,-0.050249,0.173792,-0.566295,1.181820,-0.098534,0.012682,0.004435
0.460000,0.368154,-0.029378,0.282719,-2.337835,-0.070122,1.038097,0.558736,-0.014535,1.187978,-0.095876,-0.093841,-0.099100,0.173283,0.570251,1.136395,-0.017104,0.014428,0.039709,-0.479555,0.343263,1.156086,0.011703,-0.035857,-0.182399,-0.453467,-0.353828,1.181910,0.075692,-0.079263,-0.026487,0.173906,-0.563646,1.187929,-0.095117,0.020518,0.022926
0.470000,0.344070,-0.030109,0.293418,-2.517716,-0.089947,1.120316,0.556953,-0.013897,1.191219,-0.098398,-0.089018,-0.086410,0.171449,0.571152,1.136094,-0.022193,0.016743,0.037614,-0.479952,0.343429,1.148023,0.010130,-0.034250,-0.201113,-0.452438,-0.353592,1.188697,0.076527,-0.076113,-0.005338,0.174030,-0.561232,1.193608,-0.091829,0.027276,0.039268
0.480000,0.318201,-0.031058,0.304912,-2.607321,-0.129024,1.131932,0.555344,-0.013296,1.194250,-0.100284,-0.084523,-0.074912,0.169777,0.571972,1.135806,-0.026564,0.018710,0.035654,-0.480317,0.343588,1.140553,0.008725,-0.032738,-0.217225,-0.451512,-0.353360,1.195016,0.077009,-0.073119,0.013469,0.174162,-0.559031,1.198886,-0.088664,0.033088,0.053689
