time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
0.950000,3.405225,-1.086596,0.023141,-3.227125,4.147966,0.774411,-1.343364,-3.847244,3.792067,0.539520,0.991935,-3.620049
0.960000,3.618494,-1.117804,0.026769,-3.441409,4.521931,0.819960,-1.421483,-4.213658,3.892273,0.508521,0.939414,-3.742819
0.970000,3.822617,-1.092127,0.028580,-3.663174,4.774610,0.859355,-1.487664,-4.454802,3.846975,0.454683,0.842947,-3.725845
0.980000,3.963076,-1.008404,0.028383,-3.832530,4.986251,0.907592,-1.567639,-4.645588,3.631865,0.393213,0.730884,-3.535765
0.990000,3.900328,-0.869126,0.026135,-3.802170,5.145335,0.955283,-1.645163,-4.780727,3.539530,0.365851,0.681410,-3.453998
1.000000,3.621372,-0.719434,0.023091,-3.549114,5.229752,0.986653,-1.693395,-4.848632,3.421532,0.358275,0.668561,-3.336397
1.010000,3.525560,-0.659457,0.022564,-3.463261,5.242684,0.991599,-1.695673,-4.860778,3.164200,0.354381,0.662644,-3.073675
1.020000,3.380336,-0.642622,0.023270,-3.318609,5.070539,0.944474,-1.609217,-4.714739,3.494226,0.432393,0.810354,-3.371347
1.030000,3.100892,-0.640285,0.024237,-3.033971,4.949300,0.894746,-1.519491,-4.624516,4.014665,0.554238,1.041307,-3.837452
1.040000,3.289101,-0.764485,0.029902,-3.198884,4.882723,0.850009,-1.439979,-4.587476,4.219888,0.643862,1.213046,-3.990165
1.050000,3.675656,-0.969200,0.038883,-3.545361,4.817309,0.809598,-1.370112,-4.546846,3.965694,0.654484,1.236917,-3.710582
1.060000,3.661134,-1.084727,0.044522,-3.496468,4.753981,0.782862,-1.326073,-4.497665,3.677842,0.641746,1.217315,-3.410693
1.070000,3.566145,-1.163482,0.048949,-3.370653,4.729956,0.782632,-1.329604,-4.471255,3.622923,0.654767,1.247713,-3.337674
1.080000,3.444727,-1.209749,0.052469,-3.224888,4.873822,0.833958,-1.423187,-4.586196,3.509487,0.646151,1.238735,-3.219398
1.090000,3.405345,-1.261645,0.056948,-3.162496,4.988881,0.904342,-1.551264,-4.654533,3.272916,0.607073,1.173266,-2.994477
1.100000,3.387162,-1.303427,0.062039,-3.125715,5.105789,0.992586,-1.711085,-4.707020,2.827076,0.525263,1.025984,-2.581437
1.110000,3.224992,-1.275680,0.065024,-2.961247,5.191999,1.080006,-1.869838,-4.721668,2.212400,0.411124,0.813732,-2.015820
1.120000,2.698892,-1.091279,0.060451,-2.467686,5.159775,1.131073,-1.965452,-4.634755,1.868315,0.347596,0.698768,-1.697499
1.130000,1.988375,-0.819982,0.049881,-1.810740,5.031232,1.134233,-1.977436,-4.485148,2.170711,0.405262,0.828847,-1.964882
1.140000,1.553067,-0.652670,0.043773,-1.408589,5.006601,1.126615,-1.970587,-4.462463,2.305379,0.433530,0.903187,-2.076314
1.150000,1.583669,-0.677702,0.050018,-1.430464,4.953249,1.076338,-1.889432,-4.450419,2.353131,0.447778,0.950911,-2.105347
1.160000,1.858365,-0.809636,0.065482,-1.671443,4.831393,0.979365,-1.726467,-4.404828,2.399335,0.463783,1.003878,-2.129306
1.170000,1.946168,-0.864232,0.076222,-1.742086,4.699038,0.858681,-1.521320,-4.362248,2.453001,0.482531,1.063760,-2.157033
1.180000,1.944471,-0.881670,0.084246,-1.731048,4.601247,0.734604,-1.309057,-4.349506,2.529907,0.505879,1.134359,-2.204030
1.190000,1.931306,-0.895454,0.091954,-1.708699,4.510391,0.613933,-1.100905,-4.330673,2.530906,0.512005,1.165923,-2.187227
